ENOTA,VDV_MID,VDV_ID,VDV_UIME,VDV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
VO,10858186,1001,Volilni okraj Jesenice,,374.84,2021/03/19,2021/03/19,,,V,427780,144528
VO,10858194,1002,Volilni okraj Radovljica 1,,509.71,2021/03/19,2021/03/19,,,V,421729,142828
VO,10858208,1003,Volilni okraj Radovljica 2,,131.27,2021/03/19,2021/03/19,,,V,436269,133978
VO,10858216,1004,Volilni okraj Kranj 1,,29.65,2021/03/19,2021/03/19,,,V,450319,122857
VO,10858224,1005,Volilni okraj Kranj 2,,86.73,2021/03/19,2021/03/19,,,V,441569,125717
VO,10858232,1006,Volilni okraj Kranj 3,,336.76,2021/03/19,2021/03/19,,,V,459131,138158
VO,10858267,1007,Volilni okraj Tržič,,155.37,2021/03/19,2021/03/19,,,V,446810,136457
VO,10858275,1008,Volilni okraj Škofja Loka 1,,146.02,2021/03/19,2021/03/19,,,V,446179,114397
VO,10858283,1009,Volilni okraj Škofja Loka 2,,366.29,2021/03/19,2021/03/19,,,V,436489,123967
VO,10858291,1010,Volilni okraj Kamnik,,289.68,2021/03/19,2021/03/19,,,V,469980,120777
VO,10858305,1011,Volilni okraj Idrija,,425.13,2021/03/19,2021/03/19,,,V,424258,96187
VO,10858313,2001,Volilni okraj Tolmin,,942.11,2021/03/19,2021/03/19,,,V,402358,116998
VO,10858321,2002,Volilni okraj Piran,,43.5,2021/03/19,2021/03/19,,,V,388317,44187
VO,10858330,2003,Volilni okraj Izola,,28.54,2021/03/19,2021/03/19,,,V,395487,45087
VO,10858348,2004,Volilni okraj Koper 1,,13.95,2021/03/19,2021/03/19,,,V,400787,45967
VO,10858356,2005,Volilni okraj Koper 2,,297.51,2021/03/19,2021/03/19,,,V,409447,40817
VO,10858364,2006,Volilni okraj Sežana,,659.87,2021/03/19,2021/03/19,,,V,412056,63233
VO,10858372,2007,Volilni okraj Ilirska Bistrica,,479.95,2021/03/19,2021/03/19,,,V,441668,47826
VO,10858402,2008,Volilni okraj Postojna,,493.12,2021/03/19,2021/03/19,,,V,438848,70966
VO,10858437,2009,Volilni okraj Nova Gorica 1,,539.21,2021/03/19,2021/03/19,,,V,395498,110678
VO,10858445,2010,Volilni okraj Nova Gorica 2,,66.06,2021/03/19,2021/03/19,,,V,394828,91567
VO,10858453,2011,Volilni okraj Ajdovščina,,352.69,2021/03/19,2021/03/19,,,V,414738,83647
VO,10858461,3001,Volilni okraj Logatec,,655.88,2021/03/19,2021/03/19,,,V,440248,86607
VO,10858470,3002,Volilni okraj Vrhnika,,169.04,2021/03/19,2021/03/19,,,V,445259,91637
VO,10858488,3003,Volilni okraj Ljubljana Vič-Rudnik 1,,336.37,2021/03/19,2021/03/19,,,V,459769,91686
VO,10858496,3004,Volilni okraj Ljubljana Vič-Rudnik 2,,24.73,2021/03/19,2021/03/19,,,V,465599,96006
VO,10858500,3005,Volilni okraj Ljubljana Vič-Rudnik 3,,9.67,2021/03/19,2021/03/19,,,V,459531,96645
VO,10858518,3006,Volilni okraj Ljubljana Vič-Rudnik 4,,171.18,2021/03/19,2021/03/19,,,V,460859,100536
VO,10858526,3007,Volilni okraj Ljubljana Center,,5.06,2021/03/19,2021/03/19,,,V,461699,101516
VO,10858534,3008,Volilni okraj Ljubljana Šiška 1,,4.43,2021/03/19,2021/03/19,,,V,459679,103237
VO,10858542,3009,Volilni okraj Ljubljana Šiška 2,,12.7,2021/03/19,2021/03/19,,,V,459749,103867
VO,10858577,3010,Volilni okraj Ljubljana Šiška 3,,12.97,2021/03/19,2021/03/19,,,V,458589,106597
VO,10858585,3011,Volilni okraj Ljubljana Šiška 4,,128,2021/03/19,2021/03/19,,,V,451169,112277
VO,10858593,4001,Volilni okraj Kočevje,,647.92,2021/03/19,2021/03/19,,,V,489038,55906
VO,10858607,4002,Volilni okraj Ribnica-Dobrepolje,,440.77,2021/03/19,2021/03/19,,,V,479048,66586
VO,10858615,4003,Volilni okraj Grosuplje,,133.84,2021/03/19,2021/03/19,,,V,473349,90646
VO,10858623,4004,Volilni okraj Ivančna Gorica,,221.3,2021/03/19,2021/03/19,,,V,486849,88076
VO,10858631,4005,Volilni okraj Ljubljana Moste-Polje 1,,134.59,2021/03/19,2021/03/19,,,V,470329,97036
VO,10858640,4006,Volilni okraj Ljubljana Moste-Polje 2,,3.19,2021/03/19,2021/03/19,,,V,464149,101026
VO,10858658,4007,Volilni okraj Ljubljana Moste-Polje 3,,14.65,2021/03/19,2021/03/19,,,V,463619,102066
VO,10858666,4008,Volilni okraj Ljubljana Bežigrad 1,,40.01,2021/03/19,2021/03/19,,,V,468819,105486
VO,10858674,4009,Volilni okraj Ljubljana Bežigrad 2,,6.3,2021/03/19,2021/03/19,,,V,462339,103086
VO,10858682,4010,Volilni okraj Domžale 1,,194.26,2021/03/19,2021/03/19,,,V,479480,113466
VO,10858712,4011,Volilni okraj Domžale 2,,45.3,2021/03/19,2021/03/19,,,V,469229,111866
VO,10858747,5001,Volilni okraj Šentjur,,239.82,2021/03/19,2021/03/19,,,V,530550,119835
VO,10858755,5002,Volilni okraj Celje 1,,188.38,2021/03/19,2021/03/19,,,V,517650,125825
VO,10858763,5003,Volilni okraj Celje 2,,41.64,2021/03/19,2021/03/19,,,V,520340,121185
VO,10858771,5004,Volilni okraj Žalec 1,,115.42,2021/03/19,2021/03/19,,,V,512640,123485
VO,10858780,5005,Volilni okraj Žalec 2,,233.36,2021/03/19,2021/03/19,,,V,496220,126516
VO,10858798,5006,Volilni okraj Mozirje,,508.68,2021/03/19,2021/03/19,,,V,496705,133149
VO,10858801,5007,Volilni okraj Velenje 1,,48.91,2021/03/19,2021/03/19,,,V,507681,138916
VO,10858810,5008,Volilni okraj Velenje 2,,134.24,2021/03/19,2021/03/19,,,V,508611,136146
VO,10858828,5009,Volilni okraj Slovenj Gradec,,285.72,2021/03/19,2021/03/19,,,V,506221,152136
VO,10858836,5010,Volilni okraj Ravne na Koroškem,,303.77,2021/03/19,2021/03/19,,,V,497257,156007
VO,10858844,5011,Volilni okraj Radlje,,451.31,2021/03/19,2021/03/19,,,V,502141,161466
VO,10858852,6001,Volilni okraj Črnomelj,,594.99,2021/03/19,2021/03/19,,,V,515158,48225
VO,10858887,6002,Volilni okraj Novo mesto 1,,597.57,2021/03/19,2021/03/19,,,V,504119,69855
VO,10858895,6003,Volilni okraj Novo mesto 2,,119.44,2021/03/19,2021/03/19,,,V,513519,73205
VO,10858909,6004,Volilni okraj Trebnje,,317.07,2021/03/19,2021/03/19,,,V,500669,85615
VO,10858917,6005,Volilni okraj Brežice,,267.97,2021/03/19,2021/03/19,,,V,545949,85164
VO,10858925,6006,Volilni okraj Krško,,344.94,2021/03/19,2021/03/19,,,V,537610,91965
VO,10858933,6007,Volilni okraj Sevnica,,332.52,2021/03/19,2021/03/19,,,V,523550,96645
VO,10858941,6008,Volilni okraj Laško,,249.58,2021/03/19,2021/03/19,,,V,518430,112975
VO,10858950,6009,Volilni okraj Litija,,322,2021/03/19,2021/03/19,,,V,492229,98126
VO,10858968,6010,Volilni okraj Hrastnik-Trbovlje,,116.69,2021/03/19,2021/03/19,,,V,503790,112215
VO,10858976,6011,Volilni okraj Zagorje,,147.16,2021/03/19,2021/03/19,,,V,499260,111116
VO,10858984,7001,Volilni okraj Šmarje pri Jelšah,,400.08,2021/03/19,2021/03/19,,,V,539970,121055
VO,10858992,7002,Volilni okraj Slovenska Bistrica,,335.95,2021/03/19,2021/03/19,,,V,544231,139115
VO,10859000,7003,Volilni okraj Slovenske Konjice,,222.54,2021/03/19,2021/03/19,,,V,532451,133315
VO,10859018,7004,Volilni okraj Ruše,,209.52,2021/03/19,2021/03/19,,,V,539531,155565
VO,10859026,7005,Volilni okraj Maribor 1,,177.74,2021/03/19,2021/03/19,,,V,544262,159065
VO,10859034,7006,Volilni okraj Maribor 2,,82.84,2021/03/19,2021/03/19,,,V,552511,151374
VO,10859042,7007,Volilni okraj Maribor 3,,74.57,2021/03/19,2021/03/19,,,V,556892,154034
VO,10859077,7008,Volilni okraj maribor 4,,9.56,2021/03/19,2021/03/19,,,V,549372,158294
VO,10859085,7009,Volilni okraj maribor 5,,7.63,2021/03/19,2021/03/19,,,V,546152,158285
VO,10859093,7010,Volilni okraj Maribor 6,,16.04,2021/03/19,2021/03/19,,,V,548672,152825
VO,10859107,7011,Volilni okraj Maribor 7,,4.11,2021/03/19,2021/03/19,,,V,551502,155194
VO,10859115,8001,Volilni okraj Lendava,,255.14,2021/03/19,2021/03/19,,,V,611301,159182
VO,10859123,8002,Volilni okraj Ormož,,212.46,2021/03/19,2021/03/19,,,V,588231,141623
VO,10859131,8003,Volilni okraj Ljutomer,,175.35,2021/03/19,2021/03/19,,,V,592281,153713
VO,10859140,8004,Volilni okraj Murska Sobota 1,,522.1,2021/03/19,2021/03/19,,,V,584572,182843
VO,10859158,8005,Volilni okraj Murska Sobota 2,,169.59,2021/03/19,2021/03/19,,,V,589012,169603
VO,10859166,8006,Volilni okraj Gornja Radgona,,213.49,2021/03/19,2021/03/19,,,V,575942,171103
VO,10859174,8007,Volilni okraj Lenart,,204.55,2021/03/19,2021/03/19,,,V,563802,159754
VO,10859182,8008,Volilni okraj Pesnica,,189.83,2021/03/19,2021/03/19,,,V,543222,167065
VO,10859212,8009,Volilni okraj Ptuj 1,,240.49,2021/03/19,2021/03/19,,,V,573381,146864
VO,10859247,8010,Volilni okraj Ptuj 2,,46.35,2021/03/19,2021/03/19,,,V,566941,142604
VO,10859255,8011,Volilni okraj Ptuj 3,,359.77,2021/03/19,2021/03/19,,,V,556541,138664
